ID,Unit Name,Tier,Type,Type2,Race,Chassis,ThreatSpd,ThreatRange,ThreatDam,ThreatHP,ThreatTotal,tSurfDPS,tSubDPS,tAirDPS,totDPS,maxRange,Vision,Shield,Health,Mass,Energy,BuildTime,Speed,Warnings
BEB1202,HCPP - X2000,2,Type,Type2,UEF,Chassis,0,0,0,14.615384615385,14.615384615385,0,0,0,0,0,0,0,3800,1750,21000,1750,0,
BEB1302,HCPP - X3000,3,Type,Type2,UEF,Chassis,0,0,0,40.769230769231,40.769230769231,0,0,0,0,0,0,0,10600,4250,64250,4250,0,
BEB2303,Hellstorm Emplacement,2,Type,Type2,UEF,Chassis,0,12.383778241206,6.25,9.4230769230769,28.056855164283,125,0,0,125,65,30,0,2450,2200,20000,2200,0,
BEB4209,ATF-205 Preventer,2,Type,Type2,UEF,Chassis,0,0,0,3.2692307692308,3.2692307692308,0,0,0,0,0,0,0,850,700,13125,700,0,
BEB4309,ATF-305 Preventer,3,Type,Type2,UEF,Chassis,0,0,0,5.0961538461538,5.0961538461538,0,0,0,0,0,0,0,1325,2100,39375,2100,0,
BEL0211,Inferno,2,Type,Type2,UEF,Chassis,0.43745696637061,0,6,5.0769230769231,11.514380043294,120,0,0,120,20,21,0,1320,290,1450,290,3.2,
BEL0307,Helltank,3,Type,Type2,UEF,Chassis,0,14.853393113423,27.806493506494,19.807692307692,62.467578927609,556.12987012987,0,0,556.12987012987,44,32,0,5150,1725,17500,1725,2.9,
BEL0308,Bangerhead,3,Type,Type2,UEF,Chassis,0,8.1732936391961,8.2916666666667,10,26.464960305863,165.83333333333,0,0,165.83333333333,65,30,0,2600,600,6250,600,3.1,
BEL0402,Goliath,4,Type,Type2,UEF,Chassis,0,606.80513381911,298,400,1304.8051338191,5960,0,440,18911.111111111,150,42,0,104000,41500,1180000,41500,2.8,MuzzleSalvoSize_Overridden,
BELK002,Cougar,3,Type,Type2,UEF,Chassis,0,0,0,10.576923076923,10.576923076923,0,0,177.77777777778,177.77777777778,44,32,0,2750,800,8000,800,3.3,
BES0402,Conquest Class,4,Type,Type2,UEF,Chassis,21.120480686697,841.44268306098,144.90566037736,317.30769230769,1324.7765164327,2898.1132075472,0,1142.8571428571,4040.9703504043,165,40,0,82500,42000,655000,42000,3.3,
BRA0409,Gargantuan,4,Type,Type2,Cybran,Chassis,0,140.91513521835,120.24752475248,171.15384615385,432.31650612467,2404.9504950495,0,1200,2404.9504950495,125,39,0,44500,28500,605000,28500,0.5,
BRB0006,Advanced Anti-Teleport Emitter,0,Type,Type2,Cybran,Chassis,0,0,0,0.0038461538461538,0.0038461538461538,0,0,0,0,0,0,0,1,175,1000,175,0,
BRB0007,Anti-Teleport Emitter,0,Type,Type2,Cybran,Chassis,0,0,0,0.0038461538461538,0.0038461538461538,0,0,0,0,0,0,0,1,175,1000,175,0,
BRB1106,Mass & Energy Storage,3,Type,Type2,Cybran,Chassis,0,0,0,27.692307692308,27.692307692308,0,0,0,0,0,0,0,7200,2400,14400,2400,0,
BRB1202,Improved Hydrocarbon Plant,2,Type,Type2,Cybran,Chassis,0,0,0,14.615384615385,14.615384615385,0,0,0,0,0,0,0,3800,1750,21000,1750,0,
BRB1302,Advanced Hydrocarbon Power Plant,3,Type,Type2,Cybran,Chassis,0,0,0,40.769230769231,40.769230769231,0,0,0,0,0,0,0,10600,4250,64250,4250,0,
BRB2303,Squall,2,Type,Type2,Cybran,Chassis,0,11.145400417086,5,8.2692307692308,24.414631186316,100,0,0,100,70,30,0,2150,2200,20000,2200,0,
BRB2306,Manticore,3,Type,Type2,Cybran,Chassis,0,23.954355044573,13.816666666667,21.538461538462,59.309483249702,276.33333333333,0,0,276.33333333333,60,36,0,5600,1750,16500,1750,0,
BRB4209,Mist,2,Type,Type2,Cybran,Chassis,0,0,0,2.9807692307692,2.9807692307692,0,0,0,0,0,0,0,775,700,13125,700,0,
BRB4309,Shroud,3,Type,Type2,Cybran,Chassis,0,0,0,4.6153846153846,4.6153846153846,0,0,0,0,0,0,0,1200,2100,39375,2100,0,
BRB4401,Shadow,3,Type,Type2,Cybran,Chassis,0,0,0,8.6538461538462,8.6538461538462,0,0,0,0,0,20,0,2250,11000,144000,11000,0,
BRL0006,Crab Egg (Loyalist),3,Type,Type2,Cybran,Chassis,0,0,0,0.038461538461538,0.038461538461538,0,0,0,0,0,5,0,10,600,6600,600,0,
BRL0007,Crab Egg (Scorpion),2,Type,Type2,Cybran,Chassis,0,0,0,0.038461538461538,0.038461538461538,0,0,0,0,0,1,0,10,235,1550,235,0,
BRL0008,Crab Egg (Deceiver),2,Type,Type2,Cybran,Chassis,0,0,0,0.038461538461538,0.038461538461538,0,0,0,0,0,1,0,10,80,800,80,0,
BRL0009,Crab Egg (Firebeetle),2,Type,Type2,Cybran,Chassis,0,0,0,0.038461538461538,0.038461538461538,0,0,0,0,0,1,0,10,300,1800,300,0,
BRL0010,Crab Egg (Wagner),2,Type,Type2,Cybran,Chassis,0,0,0,0.038461538461538,0.038461538461538,0,0,0,0,0,1,0,10,475,2850,475,0,
BRL0011,Crab Egg (Hailfire),3,Type,Type2,Cybran,Chassis,0,0,0,0.038461538461538,0.038461538461538,0,0,0,0,0,1,0,10,765,8500,765,0,
BRL0205,Scorpion,2,Type,Type2,Cybran,Chassis,0.53199960792208,0,3.65,3.4615384615385,7.6435380694605,73,0,0,73,25,25,0,900,235,1550,235,3.3,
BRL0307,Hailfire,3,Type,Type2,Cybran,Chassis,0,17.832640667337,9,9.6153846153846,36.448025282722,180,0,0,180,65,28,0,2500,765,8500,765,3,
BRL0401,Basilisk,4,Type,Type2,Cybran,Chassis,0,889.58883805679,275.75005746753,288.46153846154,1453.8004339859,5515.0011493506,0,1764.7058823529,22279.707031704,175,42,0,75000,90000,1750000,90000,2.4,
BRLK001,Bouncer,3,Type,Type2,Cybran,Chassis,1.6737207026343,0.89163203336685,6,9.6153846153846,18.180737351386,120,0,353.44117647059,473.44117647059,50,32,0,2500,800,8000,800,3.5,
BRLK005,Crab Egg (Bouncer),3,Type,Type2,Cybran,Chassis,0,0,0,0.038461538461538,0.038461538461538,0,0,0,0,0,1,0,10,800,8000,800,0,
BRS0304,Reaper Class,3,Type,Type2,Cybran,Chassis,25.810152669577,90.153905595982,40,86.538461538462,242.50251980402,800,121.6,461.53846153846,1385.8051282051,85,40,0,22500,6700,55000,6700,4.2,MuzzleSalvoSize_Overridden,MuzzleSalvoSize_Overridden,MuzzleSalvoSize_Overridden,MuzzleSalvoSize_Overridden,
BRS0305,Leviathan,3,Type,Type2,Cybran,Chassis,4.516776717176,3.4674579075378,7,17.307692307692,32.291926932406,140,570,0,710,70,36,0,4500,4875,40000,4875,4.2,MuzzleSalvoSize_Overridden,MuzzleSalvoSize_Overridden,
BRS0402,SeaDragon MKII,4,Type,Type2,Cybran,Chassis,58.270897893539,829.09395324876,146.5,278.84615384615,1312.7110049885,2930,144,1200,4276,200,40,0,72500,40500,650000,40500,3.7,MuzzleSalvoSize_Overridden,MuzzleSalvoSize_Overridden,MuzzleSalvoSize_Overridden,MuzzleSalvoSize_Overridden,MuzzleSalvoSize_Overridden,MuzzleSalvoSize_Overridden,
BSA0003,Hala Vulthoo,2,Type,Type2,Seraphim,Chassis,0,0.74302669447238,5,6.7307692307692,12.473795925242,100,0,0,100,28,32,0,1750,10,14000,10,0.5,
BSA0004,Heavy Attack Drone,0,Type,Type2,UEF,Chassis,4.2688121975262,0.86686447688444,2.5,5.3846153846154,13.020292059026,50,0,50,50,32,15,0,1400,140,1500,140,10,
BSA0310,Vulthatha-Ioz,3,Type,Type2,Seraphim,Chassis,0,7.0538000861911,9.5157894736842,18.461538461538,35.031128021414,190.31578947368,0,22,212.31578947368,44,35,0,4800,2400,80000,2400,0.65,MuzzleSalvoSize_Overridden,
BSB0001,Advanced Lambda Emitter,3,Type,Type2,Seraphim,Chassis,0,0,0,0.0038461538461538,0.0038461538461538,0,0,0,0,0,0,0,1,175,1000,175,0,
BSB0003,Anti-Teleport Emitter,0,Type,Type2,Seraphim,Chassis,0,0,0,0.0038461538461538,0.0038461538461538,0,0,0,0,0,0,0,1,175,1000,175,0,
BSB0005,Lambda Emitter,3,Type,Type2,Seraphim,Chassis,0,0,0,0.0038461538461538,0.0038461538461538,0,0,0,0,0,0,0,1,175,1000,175,0,
BSB0006,Anti-Teleport Emitter,0,Type,Type2,Seraphim,Chassis,0,0,0,0.0038461538461538,0.0038461538461538,0,0,0,0,0,0,0,1,175,1000,175,0,
BSB0405,Uttaus-Athellu,4,Type,Type2,Seraphim,Chassis,0,193.18694056282,60,63.461538461538,316.64847902436,1200,0,0,1200,90,40,0,16500,42500,552500,42500,0,
BSB1106,Mass & Energy Storage,3,Type,Type2,Seraphim,Chassis,0,0,0,27.692307692308,27.692307692308,0,0,0,0,0,0,0,7200,2400,14400,2400,0,
BSB1202,Uya-atoh,2,Type,Type2,Seraphim,Chassis,0,0,0,14.615384615385,14.615384615385,0,0,0,0,0,0,0,3800,1750,21000,1750,0,
BSB1302,Uya-atoh,3,Type,Type2,Seraphim,Chassis,0,0,0,40.769230769231,40.769230769231,0,0,0,0,0,0,0,10600,4250,64250,4250,0,
BSB2306,Uttauthuum,3,Type,Type2,Seraphim,Chassis,0,21.399168800804,13.5,22.307692307692,57.206861108497,270,0,0,270,57,36,0,5800,1750,16500,1750,0,
BSB2402,Haasioz-Iya,4,Type,Type2,Seraphim,Chassis,0,0,0,125,125,0,0,0,0,0,10,0,32500,224775,4387500,224775,0,
BSB4205,Au-iya,2,Type,Type2,Seraphim,Chassis,0,0,0,7.6923076923077,7.6923076923077,0,0,0,0,0,0,0,2000,3600,31900,3600,0,
BSB4209,Haazthue-Uhthena,2,Type,Type2,Seraphim,Chassis,0,0,0,2.9807692307692,2.9807692307692,0,0,0,0,0,0,0,775,700,13125,700,0,
BSB4309,Haazthue-Uhthena,3,Type,Type2,Seraphim,Chassis,0,0,0,4.6153846153846,4.6153846153846,0,0,0,0,0,0,0,1200,2100,39375,2100,0,
BSL0003,Hala Ilshavoh,2,Type,Type2,Seraphim,Chassis,0,0.66872402502514,4.5,6.3461538461538,11.514877871179,90,0,0,90,28,22,0,1650,5,2150,5,2.7,
BSL0004,Hala Ythisah,2,Type,Type2,Seraphim,Chassis,0,7.3756326289537,2.9779411764706,2.8846153846154,13.23818919004,59.558823529412,0,0,59.558823529412,75,21,0,750,5,1600,5,3,
BSL0005,Hala Othuum,3,Type,Type2,Seraphim,Chassis,0,3.962809037186,20,15.384615384615,39.347424421801,400,105,0,505,44,30,0,4000,5,12000,5,2.5,
BSL0007,Hala Suthanus,3,Type,Type2,Seraphim,Chassis,0,13.275410274573,4,3.3653846153846,20.640794889958,80,0,0,80,92,28,0,875,5,8900,5,2.8,
BSL0008,Hala Usha-Ah,3,Type,Type2,Seraphim,Chassis,3.9053483061468,17.337289537689,14,2.2692307692308,37.511868613066,280,0,0,280,70,32,0,590,5,15000,5,3.5,
BSL0009,Hala Uyanah,3,Type,Type2,Seraphim,Chassis,0,3.4674579075378,10,10.384615384615,23.852073292153,200,0,300,500,44,32,0,2700,5,9600,5,2.5,
BSL0010,Hala Ilthysathuum,3,Type,Type2,Seraphim,Chassis,0,5.6611557674086,22.857142857143,20.769230769231,49.287529393782,457.14285714286,0,0,458.14285714286,30,30,0,5400,5,20000,5,2.5,
BSL0106,Ilhaas,1,Type,Type2,Seraphim,Chassis,0,0,1.4,1.1538461538462,2.5538461538462,28,0,0,28,18,20,0,300,85,500,85,3.1,
BSL0206,Ula Ilhaas,2,Type,Type2,Seraphim,Chassis,0,0,3.5,5.7692307692308,9.2692307692308,70,0,0,70,24,22,0,1500,335,2100,335,2.9,
BSL0306,Uthla Ilhaas,3,Type,Type2,Seraphim,Chassis,0,2.2290800834171,9,13.076923076923,24.30600316034,180,0,0,180,30,32,0,3400,750,7750,750,2.9,
BSL0310,Ilthysathuum,3,Type,Type2,Seraphim,Chassis,0,5.6611557674086,22.857142857143,20.769230769231,49.287529393782,457.14285714286,0,0,458.14285714286,30,30,0,5400,1650,20000,1650,2.5,
BSL0401,Yenzotha,4,Type,Type2,Seraphim,Chassis,10.389602951302,176.46883993719,142.5,200,529.35844288849,2850,0,400,3250,50,37,0,52000,18000,385000,18000,3.2,
BSL0403,Othuy,4,Type,Type2,Seraphim,Chassis,0,0,83.333333333333,0.38461538461538,83.717948717949,1666.6666666667,0,1666.6666666667,1666.6666666667,20,0,0,100,1,1,1,3,
BSL0404,Othuy,4,Type,Type2,Seraphim,Chassis,0,0,17.857142857143,0.38461538461538,18.241758241758,357.14285714286,0,357.14285714286,357.14285714286,6,0,0,100,1,1,1,0.1,
BSL0406,Seth Ilhaas,4,Type,Type2,Seraphim,Chassis,12.552905269758,37.894361418091,45,136.53846153846,231.98572822631,900,0,0,900,42,35,0,35500,12000,115000,12000,3.5,
BSLK004,Uyanah,3,Type,Type2,Seraphim,Chassis,0,3.4674579075378,10,10.384615384615,23.852073292153,200,0,300,500,44,32,0,2700,960,9600,960,2.5,
BSS0206,Zthuzene,4,Type,Type2,Seraphim,Chassis,12.180931953615,103.52838609648,22,13.461538461538,151.17085651164,440,0,133.33333333333,573.33333333333,120,32,0,3500,1250,14500,1250,4,
BSS0306,Ithaluthe-Esel,3,Type,Type2,Seraphim,Chassis,14.975609210589,109.96795078191,44.045454545455,86.538461538462,255.52747607642,880.90909090909,0,462.5,1343.4090909091,110,40,0,22500,7140,63000,7140,3.6,
BSS0401,Hovatha-Hauthu,4,Type,Type2,Seraphim,Chassis,26.359986526449,284.69421620945,77.528571428571,278.84615384615,667.42892801062,1550.5714285714,0,571.42857142857,2153,150,40,0,72500,37500,495000,37500,3.6,
XEL0307,Juggernaut,3,Type,Type2,UEF,Chassis,0,13.826450879706,32.330303030303,12.115384615385,58.272138525394,646.60606060606,0,0,646.60606060606,44,32,0,3150,1950,24000,1950,2.6,MuzzleSalvoSize_Overridden,MuzzleSalvoSize_Overridden,MuzzleSalvoSize_Overridden,
XRS0402,SeaDragon Class,4,Type,Type2,Cybran,Chassis,49.413843669752,865.04818940906,145.33333333333,263.46153846154,1323.2569048737,2906.6666666667,240,640,3789.3815987934,165,44,0,68500,39500,650000,39500,3.6,MuzzleSalvoSize_Overridden,
SAA0106,Saksinokka,1,Type,Type2,Aeon,Chassis,0,0,0,0.92307692307692,0.92307692307692,0,40,0,40,24,26,0,240,55,3500,55,0.5,
SAA0201,Beguiler,2,Type,Type2,Aeon,Chassis,0,0,0,4.0384615384615,4.0384615384615,0,0,0,0,0,44,0,1050,180,5500,180,10,
SAA0211,Impaler,2,Type,Type2,Aeon,Chassis,0,11.145400417086,7.5,5.3846153846154,24.030015801701,150,0,0,150,55,32,0,1400,360,20000,360,0.5,
SAA0306,Solaris,4,Type,Type2,Aeon,Chassis,0,27.105613814352,28.8,20.769230769231,76.674844583583,576,0,576,576,44,38,0,5400,8250,102000,8250,0.5,
SAA0314,Shrieker,3,Type,Type2,Aeon,Chassis,0,183.27991796985,66.8,25,275.07991796985,1336,300,0,1636,150,38,0,6500,5000,210000,5000,0.5,
SAB0401,Independence Engine,4,Type,Type2,Aeon,Chassis,0,0,0,111.53846153846,111.53846153846,0,0,0,0,0,14,0,29000,31440,384000,31440,0,
SAB2103,Charis,1,Type,Type2,Aeon,Chassis,0,5.5727002085428,3.75,3.4615384615385,12.784238670081,75,0,0,75,55,24,0,900,500,4900,500,0,
SAB2220,Molehill,1,Type,Type2,Aeon,Chassis,0,0,0,0.076923076923077,0.076923076923077,0,0,0,0,1,0,0,20,150,2500,150,0,Unknown Type,
SAB2221,Mound,2,Type,Type2,Aeon,Chassis,0,0,0,0.30769230769231,0.30769230769231,0,0,0,0,5,0,0,80,300,6000,300,0,Unknown Type,
SAB2222,Mountain,3,Type,Type2,Aeon,Chassis,0,0,0,0.96153846153846,0.96153846153846,0,0,0,1000,30,0,0,250,1800,405000,1800,0,
SAB2306,Orbos,3,Type,Type2,Aeon,Chassis,0,23.776854223116,16,23.076923076923,62.853777300039,320,0,0,320,55,36,0,6000,2100,22000,2100,0,
SAB2308,Flash Flood,3,Type,Type2,Aeon,Chassis,0,0,0,38.461538461538,38.461538461538,0,500,0,500,75,36,0,10000,3000,25000,3000,0,
SAB2311,Nihiloid,3,Type,Type2,Aeon,Chassis,0,74.062983416763,14.516129032258,15.384615384615,103.96372783364,290.32258064516,0,0,290.32258064516,128,30,0,4000,3900,55000,3900,0,
SAB4401,Pillar of Prominence,4,Type,Type2,Aeon,Chassis,0,0,0,9.4230769230769,9.4230769230769,0,0,0,0,0,0,0,2450,29430,200000,29430,0,
SAB5104,Pedestal,1,Type,Type2,Aeon,Chassis,0,0,0,0.76923076923077,0.76923076923077,0,0,0,0,0,0,0,200,90,1050,90,0,
SAB5210,Medium Wall Segment,2,Type,Type2,Aeon,Chassis,0,0,0,34.615384615385,34.615384615385,0,0,0,0,0,0,0,9000,240,800,240,0,
SAB5301,Aegis,3,Type,Type2,Seraphim,Chassis,0,0,0,15.384615384615,15.384615384615,0,0,0,0,0,0,0,4000,1070,6500,1070,0,
SAL0209,Butler,2,Type,Type2,Aeon,Chassis,0,0,0,2.3846153846154,2.3846153846154,0,0,0,0,0,20,0,620,360,2200,360,2.1,
SAL0311,Moldavite,3,Type,Type2,Aeon,Chassis,0,13.671691178292,23,23.076923076923,59.748614255215,460,0,0,460,37,32,0,6000,1650,16500,1650,2.5,
